id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,open_acc,total_acc,total_pymnt,repay_fail
545583,703644,2500,2500,36 months,13.98,85.42,4 years,RENT,20004,10-Jul,Does not meet the credit policy. Status:Fully Paid,other,MI,19.86,7,10,3075.291779,0
532101,687836,5000,5000,36 months,15.95,175.67,4 years,RENT,59000,10-Jun,Charged Off,debt_consolidation,NY,19.57,7,15,2948.76,1
877788,1092507,7000,7000,36 months,9.91,225.58,10+ years,MORTGAGE,53796,11-Sep,Fully Paid,other,TX,10.8,7,20,8082.39188,0
875406,1089981,2000,2000,36 months,5.42,60.32,10+ years,RENT,30000,11-Sep,Fully Paid,debt_consolidation,NY,3.6,7,15,2161.663244,0
506439,652909,3600,3600,36 months,10.25,116.59,10+ years,MORTGAGE,675048,10-Apr,Does not meet the credit policy. Status:Fully Paid,other,AL,1.55,8,25,4206.031191,0
981465,1204637,8000,8000,36 months,6.03,243.49,n/a,MORTGAGE,77736,11-Oct,Fully Paid,other,AZ,6.07,12,49,8724.971815,0
749050,948200,6000,6000,36 months,7.49,186.61,3 years,RENT,35000,11-May,Fully Paid,debt_consolidation,MO,13.13,5,9,6717.950109,0
1016373,1243872,25600,25600,60 months,14.27,599.26,4 years,RENT,86000,11-Nov,Fully Paid,debt_consolidation,NY,26.51,16,32,32840.05674,0
786870,990345,19750,19750,60 months,23.22,559.27,10+ years,MORTGAGE,72500,11-Jun,Fully Paid,debt_consolidation,MO,19.96,15,44,27544.89116,0
1019261,1247939,6250,6250,36 months,17.27,223.68,4 years,MORTGAGE,28000,11-Nov,Charged Off,other,OH,13.76,2,15,6688.64,1
385577,417323,8000,8000,36 months,13.79,272.61,5 years,RENT,75000,9-Mar,Fully Paid,credit_card,CA,12.78,8,37,9813.670737,0
824974,1033732,15000,15000,36 months,15.23,521.68,7 years,MORTGAGE,38400,11-Jul,Fully Paid,small_business,AR,17.38,5,12,18760.5504,0
614770,788329,16000,3325,36 months,6.54,101.97,4 years,MORTGAGE,1.00E+05,10-Nov,Fully Paid,debt_consolidation,TX,6.05,5,36,3671.069608,0
431061,511469,7000,7000,36 months,16.63,248.29,7 years,RENT,30996,9-Aug,Fully Paid,debt_consolidation,NJ,8.32,3,11,7947.009056,0
626978,803399,15000,10875,60 months,9.99,231.01,2 years,MORTGAGE,23500,10-Dec,Fully Paid,debt_consolidation,AZ,11.95,8,12,13860.45333,0
453529,560782,9000,9000,36 months,21.21,340.06,2 years,MORTGAGE,90000,9-Oct,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,WI,10.24,9,23,10092.85412,0
439656,531415,13000,13000,36 months,11.83,430.75,3 years,MORTGAGE,107004,9-Sep,Fully Paid,debt_consolidation,VA,13.2,14,31,15506.63274,0
475860,602597,4500,4500,36 months,11.83,149.11,< 1 year,MORTGAGE,12960,10-Jan,Fully Paid,debt_consolidation,VA,9.17,7,10,5368.145768,0
428175,506399,10500,10500,36 months,12.53,351.4,3 years,RENT,51504,9-Jul,Fully Paid,credit_card,TX,23.49,12,19,12667.99707,0
531060,686638,2000,2000,36 months,13.61,67.98,1 year,RENT,26496,10-Jun,Fully Paid,debt_consolidation,CA,17.71,5,7,2447.360162,0
435217,519936,8000,8000,36 months,11.14,262.43,4 years,MORTGAGE,55000,9-Aug,Fully Paid,credit_card,GA,18.89,14,27,9447.75419,0
780079,982833,14400,14400,36 months,8.9,457.25,4 years,RENT,59000,11-Jun,Fully Paid,credit_card,TX,10.72,5,10,15337.03068,0
848062,1059619,6000,6000,36 months,15.99,210.92,1 year,RENT,45000,11-Aug,Fully Paid,small_business,NY,3.84,3,3,7595.32908,0
739682,937278,4200,4200,36 months,13.06,141.64,10+ years,MORTGAGE,78000,11-Apr,Fully Paid,major_purchase,NJ,13.82,14,28,5098.865209,0
714999,908482,3600,3600,36 months,14.17,123.34,4 years,RENT,30000,11-Apr,Fully Paid,other,CA,0.68,4,9,3684.305325,0
584444,750991,5000,5000,36 months,6,152.11,10+ years,RENT,34868.4,10-Sep,Fully Paid,wedding,FL,4.37,2,7,5936.962272,0
469684,592582,7000,7000,36 months,16.35,247.31,< 1 year,RENT,36000,9-Dec,Fully Paid,other,CA,3.73,2,3,8616.124601,0
799050,1004210,2800,2800,36 months,7.49,87.09,4 years,RENT,48000,11-Jul,Fully Paid,other,CA,25.45,6,20,3135.020847,0
433166,515390,6500,6500,36 months,15.65,227.41,4 years,RENT,42500,9-Aug,Charged Off,medical,NY,13.16,6,8,2072.47,1
392880,430130,9575,9575,36 months,9.63,307.31,2 years,OWN,56996,9-Apr,Fully Paid,car,CA,10.72,11,15,10995.44109,0
813783,1002494,17325,17325,36 months,11.99,575.36,1 year,MORTGAGE,114000,11-Jul,Fully Paid,credit_card,CA,12.89,7,13,20712.7521,0
798147,1003244,16000,16000,60 months,16.49,393.27,4 years,MORTGAGE,65000,11-Jul,Fully Paid,debt_consolidation,FL,17.54,12,24,17933.27852,0
698976,890473,12000,12000,36 months,7.29,372.12,10+ years,RENT,68400,11-Mar,Fully Paid,debt_consolidation,AK,17.05,19,44,13360.83486,0
657350,840685,10000,10000,36 months,6.92,308.41,10+ years,RENT,43337,11-Jan,Fully Paid,small_business,TX,24.89,5,8,11103.43382,0
1063892,1296470,18000,18000,36 months,6.62,552.67,2 years,MORTGAGE,78000,11-Dec,Fully Paid,debt_consolidation,TX,6.35,8,13,19895.96,0
584317,750801,1450,1450,36 months,7.51,45.12,n/a,RENT,10000,10-Sep,Fully Paid,other,MA,22.2,9,10,1555.993411,0
701975,893813,12500,12500,36 months,18.62,455.81,2 years,RENT,43560,11-Mar,Fully Paid,debt_consolidation,MN,5.43,4,8,15628.43262,0
364937,375772,5500,5500,36 months,14.62,189.64,3 years,RENT,24000,8-Dec,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,FL,20.45,4,7,6857.360454,0
527744,682603,6000,6000,60 months,11.49,131.93,3 years,RENT,24000,10-Jun,Fully Paid,debt_consolidation,WI,10.65,7,20,7928.340004,0
612510,785399,25000,25000,36 months,15.57,873.63,7 years,MORTGAGE,2.00E+05,10-Nov,Fully Paid,debt_consolidation,TX,23.78,19,39,29280.77624,0
496412,636080,12000,12000,36 months,9.88,386.53,6 years,MORTGAGE,80000,10-Apr,Fully Paid,debt_consolidation,MD,15.03,13,23,13224.09719,0
977383,1200186,14275,14275,60 months,20.3,380.59,6 years,MORTGAGE,54000,11-Oct,Fully Paid,home_improvement,AZ,19.31,10,20,20611.20871,0
382919,412923,10000,10000,36 months,14.11,342.29,1 year,RENT,45000,9-Mar,Fully Paid,debt_consolidation,CA,7.95,7,10,12322.38679,0
751452,950898,20050,20050,36 months,10.59,652.53,9 years,MORTGAGE,76000,11-May,Fully Paid,debt_consolidation,CA,20.21,8,15,20746.87624,0
599746,769809,25000,15050,60 months,12.61,339.44,< 1 year,RENT,65000,10-Oct,Fully Paid,debt_consolidation,NY,24.57,17,28,20366.11789,0
874158,1088555,7000,7000,36 months,11.49,230.8,2 years,RENT,72000,11-Sep,Fully Paid,credit_card,CA,18.3,17,37,8308.750002,0
788475,992188,5000,5000,36 months,5.42,150.8,2 years,MORTGAGE,1.00E+05,11-Jun,Fully Paid,debt_consolidation,NY,5.9,11,26,5410.105852,0
237917,224754,12325,12325,36 months,18.36,447.81,10+ years,MORTGAGE,54000,8-Feb,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,NV,14.82,22,48,16234.67126,0
546341,704531,8000,8000,36 months,13.61,271.91,8 years,MORTGAGE,58000,10-Jul,Fully Paid,credit_card,OH,22.49,17,25,9560.659512,0
740505,938229,35000,35000,60 months,21.74,961.5,n/a,MORTGAGE,73000,11-May,Charged Off,small_business,OH,17.44,8,26,12320.78,1
495891,635280,8500,8500,36 months,10.62,276.76,2 years,RENT,45000,10-Mar,Fully Paid,debt_consolidation,KY,2.01,12,35,9385.106074,0
522602,675979,10000,9550,60 months,10.75,206.46,5 years,MORTGAGE,75000,10-Jun,Fully Paid,major_purchase,IL,7.97,10,39,11652.6081,0
519239,671269,12000,12000,36 months,12.73,402.77,4 years,OWN,31000,10-May,Fully Paid,debt_consolidation,VA,16.57,5,5,14501.22566,0
768605,969928,19250,19250,60 months,14.79,455.84,8 years,MORTGAGE,65004,11-Jun,Fully Paid,debt_consolidation,MD,8.79,6,16,26715.93,0
735359,932052,11000,11000,60 months,10.37,235.73,10+ years,MORTGAGE,48000,11-May,Fully Paid,car,OH,21.38,5,16,14068.66001,0
659702,843747,6000,6000,36 months,14.54,206.65,2 years,RENT,41196,11-Jan,Fully Paid,credit_card,NH,23.24,11,18,7441.761269,0
812580,1019748,16000,16000,36 months,10.99,523.75,< 1 year,OWN,52000,11-Jul,Fully Paid,debt_consolidation,OH,24,17,43,18779.64573,0
645220,825612,8000,8000,36 months,7.66,249.44,< 1 year,RENT,19200,11-Mar,Fully Paid,major_purchase,CT,1.25,3,4,8936.899904,0
968565,1189546,30000,30000,60 months,11.71,662.95,3 years,MORTGAGE,82000,11-Oct,Charged Off,other,CA,0.22,6,14,9943.49,1
621682,796762,3500,3500,36 months,5.42,105.56,5 years,RENT,60000,10-Nov,Fully Paid,small_business,CA,14.1,8,16,3800.487597,0
500656,643138,6400,6400,36 months,7.14,198.02,6 years,MORTGAGE,67807,10-Apr,Fully Paid,home_improvement,TX,9.43,5,20,7096.003486,0
677048,865097,13800,13800,36 months,7.66,430.29,2 years,RENT,105000,11-Feb,Fully Paid,debt_consolidation,WA,21.15,10,20,15393.6719,0
