,loan_amnt,funded_amnt,term,int_rate,installment,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,open_acc,total_acc,total_pymnt,repay_fail
0,2500,2500,36 months,13.98,85.42,RENT,20004.0,Does not meet the credit policy. Status:Fully Paid,other,MI,19.86,7,10,3075.291779,0
1,5000,5000,36 months,15.95,175.67,RENT,59000.0,Charged Off,debt_consolidation,NY,19.57,7,15,2948.76,1
2,7000,7000,36 months,9.91,225.58,MORTGAGE,53796.0,Fully Paid,other,TX,10.8,7,20,8082.39188,0
3,2000,2000,36 months,5.42,60.32,RENT,30000.0,Fully Paid,debt_consolidation,NY,3.6,7,15,2161.663244,0
6,6000,6000,36 months,7.49,186.61,RENT,35000.0,Fully Paid,debt_consolidation,MO,13.13,5,9,6717.950109,0
7,25600,25600,60 months,14.27,599.26,RENT,86000.0,Fully Paid,debt_consolidation,NY,26.51,16,32,32840.05674,0
8,19750,19750,60 months,23.22,559.27,MORTGAGE,72500.0,Fully Paid,debt_consolidation,MO,19.96,15,44,27544.89116,0
9,6250,6250,36 months,17.27,223.68,MORTGAGE,28000.0,Charged Off,other,OH,13.76,2,15,6688.64,1
10,8000,8000,36 months,13.79,272.61,RENT,75000.0,Fully Paid,credit_card,CA,12.78,8,37,9813.670737,0
11,15000,15000,36 months,15.23,521.68,MORTGAGE,38400.0,Fully Paid,small_business,AR,17.38,5,12,18760.5504,0
12,16000,3325,36 months,6.54,101.97,MORTGAGE,100000.0,Fully Paid,debt_consolidation,TX,6.05,5,36,3671.069608,0
13,7000,7000,36 months,16.63,248.29,RENT,30996.0,Fully Paid,debt_consolidation,NJ,8.32,3,11,7947.009056,0
14,15000,10875,60 months,9.99,231.01,MORTGAGE,23500.0,Fully Paid,debt_consolidation,AZ,11.95,8,12,13860.45333,0
15,9000,9000,36 months,21.21,340.06,MORTGAGE,90000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,WI,10.24,9,23,10092.85412,0
16,13000,13000,36 months,11.83,430.75,MORTGAGE,107004.0,Fully Paid,debt_consolidation,VA,13.2,14,31,15506.63274,0
17,4500,4500,36 months,11.83,149.11,MORTGAGE,12960.0,Fully Paid,debt_consolidation,VA,9.17,7,10,5368.145768,0
18,10500,10500,36 months,12.53,351.4,RENT,51504.0,Fully Paid,credit_card,TX,23.49,12,19,12667.99707,0
19,2000,2000,36 months,13.61,67.98,RENT,26496.0,Fully Paid,debt_consolidation,CA,17.71,5,7,2447.360162,0
20,8000,8000,36 months,11.14,262.43,MORTGAGE,55000.0,Fully Paid,credit_card,GA,18.89,14,27,9447.75419,0
21,14400,14400,36 months,8.9,457.25,RENT,59000.0,Fully Paid,credit_card,TX,10.72,5,10,15337.03068,0
22,6000,6000,36 months,15.99,210.92,RENT,45000.0,Fully Paid,small_business,NY,3.84,3,3,7595.32908,0
23,4200,4200,36 months,13.06,141.64,MORTGAGE,78000.0,Fully Paid,major_purchase,NJ,13.82,14,28,5098.865209,0
24,3600,3600,36 months,14.17,123.34,RENT,30000.0,Fully Paid,other,CA,0.68,4,9,3684.305325,0
25,5000,5000,36 months,6.0,152.11,RENT,34868.4,Fully Paid,wedding,FL,4.37,2,7,5936.962272,0
26,7000,7000,36 months,16.35,247.31,RENT,36000.0,Fully Paid,other,CA,3.73,2,3,8616.124601,0
27,2800,2800,36 months,7.49,87.09,RENT,48000.0,Fully Paid,other,CA,25.45,6,20,3135.020847,0
28,6500,6500,36 months,15.65,227.41,RENT,42500.0,Charged Off,medical,NY,13.16,6,8,2072.47,1
29,9575,9575,36 months,9.63,307.31,OWN,56996.0,Fully Paid,car,CA,10.72,11,15,10995.44109,0
30,17325,17325,36 months,11.99,575.36,MORTGAGE,114000.0,Fully Paid,credit_card,CA,12.89,7,13,20712.7521,0
31,16000,16000,60 months,16.49,393.27,MORTGAGE,65000.0,Fully Paid,debt_consolidation,FL,17.54,12,24,17933.27852,0
32,12000,12000,36 months,7.29,372.12,RENT,68400.0,Fully Paid,debt_consolidation,AK,17.05,19,44,13360.83486,0
33,10000,10000,36 months,6.92,308.41,RENT,43337.0,Fully Paid,small_business,TX,24.89,5,8,11103.43382,0
34,18000,18000,36 months,6.62,552.67,MORTGAGE,78000.0,Fully Paid,debt_consolidation,TX,6.35,8,13,19895.96,0
36,12500,12500,36 months,18.62,455.81,RENT,43560.0,Fully Paid,debt_consolidation,MN,5.43,4,8,15628.43262,0
37,5500,5500,36 months,14.62,189.64,RENT,24000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,FL,20.45,4,7,6857.360454,0
38,6000,6000,60 months,11.49,131.93,RENT,24000.0,Fully Paid,debt_consolidation,WI,10.65,7,20,7928.340004,0
40,12000,12000,36 months,9.88,386.53,MORTGAGE,80000.0,Fully Paid,debt_consolidation,MD,15.03,13,23,13224.09719,0
41,14275,14275,60 months,20.3,380.59,MORTGAGE,54000.0,Fully Paid,home_improvement,AZ,19.31,10,20,20611.20871,0
42,10000,10000,36 months,14.11,342.29,RENT,45000.0,Fully Paid,debt_consolidation,CA,7.95,7,10,12322.38679,0
43,20050,20050,36 months,10.59,652.53,MORTGAGE,76000.0,Fully Paid,debt_consolidation,CA,20.21,8,15,20746.87624,0
