ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
5524,1957,Graduation,Single,58138,0,58,3,8,10,4,7
2174,1954,Graduation,Single,46344,1,38,2,1,1,2,5
4141,1965,Graduation,Together,71613,0,26,1,8,2,10,4
6182,1984,Graduation,Together,26646,1,26,2,2,0,4,6
5324,1981,PhD,Married,58293,1,94,5,5,3,6,5
7446,1967,Master,Together,62513,0,16,2,6,4,10,6
965,1971,Graduation,Divorced,55635,0,34,4,7,3,7,6
6177,1985,PhD,Married,33454,1,32,2,4,0,4,8
4855,1974,PhD,Together,30351,1,19,1,3,0,2,9
387,1976,Basic,Married,7500,0,59,1,2,0,3,8
2125,1959,Graduation,Divorced,63033,0,82,1,3,4,8,2
8180,1952,Master,Divorced,59354,1,53,3,6,1,5,6
2569,1987,Graduation,Married,17323,0,38,1,1,0,3,8
2114,1946,PhD,Single,82800,0,23,1,7,6,12,3
9736,1980,Graduation,Married,41850,1,51,3,3,0,3,8
4939,1946,Graduation,Together,37760,0,20,2,4,1,6,7
6565,1949,Master,Married,76995,0,91,2,11,4,9,5
2278,1985,2n Cycle,Single,33812,1,86,2,2,1,3,6
9360,1982,Graduation,Married,37040,0,41,1,4,2,5,8
1993,1949,PhD,Married,58607,0,63,3,2,3,9,8
4047,1954,PhD,Married,65324,0,0,3,6,2,9,4
1409,1951,Graduation,Together,40689,0,69,7,7,1,5,8
7892,1969,Graduation,Single,18589,0,89,2,2,1,3,7
2404,1976,Graduation,Married,53359,1,4,4,5,1,4,7
9422,1989,Graduation,Married,38360,1,26,2,2,1,4,3
1966,1965,PhD,Married,84618,0,96,1,6,9,10,2
6864,1989,Master,Divorced,10979,0,34,2,3,0,3,5
3033,1963,Master,Together,38620,0,56,1,2,5,3,3
5710,1970,Graduation,Together,40548,0,31,2,2,1,4,5
7373,1952,PhD,Divorced,46610,0,8,6,4,1,6,6
8755,1946,Master,Married,68657,0,4,1,3,5,9,7
10738,1951,Master,Single,49389,1,55,1,2,0,3,7
4339,1970,PhD,Married,67353,0,37,5,5,6,12,2
10755,1976,2n Cycle,Married,23718,1,76,3,3,1,2,7
8595,1973,Graduation,Widow,42429,0,99,2,1,1,3,5
2968,1943,PhD,Divorced,48948,0,53,2,7,10,5,6
8601,1980,Graduation,Married,80011,0,3,2,8,6,5,4
503,1985,Master,Married,20559,1,88,2,2,0,3,8
8430,1957,Graduation,Together,21994,0,4,1,0,0,3,5
2139,1975,Master,Married,7500,1,19,3,2,0,3,5
1371,1976,Graduation,Single,79941,0,72,1,2,4,9,1
9909,1996,2n Cycle,Married,7500,0,24,3,3,1,3,9
7286,1968,Graduation,Together,41728,1,92,1,2,0,2,10
6566,1954,PhD,Married,72550,1,39,9,5,2,12,8
8614,1957,Graduation,Widow,65486,0,29,1,4,2,10,2
4114,1964,Master,Married,79143,0,2,1,6,9,13,3
1331,1977,Graduation,Single,35790,1,54,2,2,0,3,7
2225,1977,Graduation,Divorced,82582,0,54,1,4,9,7,1
9381,1978,Graduation,Married,66373,1,57,7,4,2,10,3
6260,1955,Master,Together,82384,0,55,1,3,10,13,1
10383,1966,Graduation,Divorced,70287,0,30,1,5,5,10,3
7437,1988,Graduation,Single,27938,1,31,1,1,0,4,3
8375,1968,PhD,Married,55954,0,63,3,8,2,6,7
6853,1982,Master,Single,75777,0,12,1,3,6,11,1
3076,1975,Graduation,Together,66653,1,18,4,4,2,12,3
1012,1952,Graduation,Single,61823,0,26,4,8,2,10,7
6518,1951,PhD,Widow,67680,0,8,1,7,3,8,5
4137,1948,Graduation,Together,70666,0,29,1,7,4,4,4
