Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
IndiGo,Banglore,New Delhi,0,3897,2019,170,Night,Night
Air India,Kolkata,Banglore,2,7662,2019,445,Night,Afternoon
Jet Airways,Delhi,Cochin,2,13882,2019,1140,Morning,Night
IndiGo,Kolkata,Banglore,1,6218,2019,325,Evening,Night
IndiGo,Banglore,New Delhi,1,13302,2019,285,Afternoon,Evening
SpiceJet,Kolkata,Banglore,0,3873,2019,145,Morning,Morning
Jet Airways,Banglore,New Delhi,1,11087,2019,930,Evening,Morning
Jet Airways,Banglore,New Delhi,1,22270,2019,1265,Morning,Night
Jet Airways,Banglore,New Delhi,1,11087,2019,1530,Morning,Morning
Multiple carriers,Delhi,Cochin,1,8625,2019,470,Morning,Evening
Air India,Delhi,Cochin,1,8907,2019,795,Morning,Night
IndiGo,Kolkata,Banglore,0,4174,2019,155,Evening,Night
Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,9663,2019,730,Evening,Morning
IndiGo,Kolkata,Banglore,0,4804,2019,155,Evening,Evening
Air India,Delhi,Cochin,2,14011,2019,1595,Afternoon,Evening
SpiceJet,Delhi,Cochin,1,5830,2019,270,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,10262,2019,1355,Afternoon,Afternoon
Air India,Delhi,Cochin,2,13381,2019,1380,Evening,Evening
Jet Airways,Delhi,Cochin,1,12898,2019,1235,Afternoon,Afternoon
GoAir,Delhi,Cochin,1,19495,2019,310,Afternoon,Evening
Air India,Banglore,New Delhi,1,6955,2019,920,Night,Afternoon
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
IndiGo,Banglore,Delhi,0,4823,2019,175,Evening,Evening
Jet Airways,Kolkata,Banglore,1,7757,2019,800,Evening,Morning
Jet Airways,Delhi,Cochin,2,13292,2019,910,Evening,Afternoon
IndiGo,Delhi,Cochin,1,8238,2019,345,Evening,Night
GoAir,Delhi,Cochin,1,7682,2019,355,Morning,Afternoon
Vistara,Banglore,Delhi,0,4668,2019,170,Morning,Afternoon
Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
Air India,Kolkata,Banglore,2,13227,2019,805,Morning,Night
IndiGo,Banglore,Delhi,0,4423,2019,170,Night,Morning
Jet Airways,Delhi,Cochin,2,10919,2019,1320,Afternoon,Afternoon
Jet Airways,Delhi,Cochin,1,12373,2019,330,Morning,Afternoon
IndiGo,Delhi,Cochin,1,5894,2019,625,Morning,Evening
SpiceJet,Kolkata,Banglore,1,4649,2019,315,Afternoon,Evening
Air India,Kolkata,Banglore,0,6245,2019,150,Afternoon,Afternoon
Jet Airways,Banglore,New Delhi,1,19225,2019,375,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,14924,2019,715,Morning,Evening
Multiple carriers,Delhi,Cochin,1,9646,2019,665,Morning,Evening
Air India,Banglore,New Delhi,1,8714,2019,510,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,12373,2019,1325,Evening,Evening
Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,13062,2019,720,Morning,Evening
SpiceJet,Banglore,New Delhi,0,3527,2019,170,Night,Morning
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
Air India,Kolkata,Banglore,1,6117,2019,965,Evening,Morning
Jet Airways,Delhi,Cochin,2,11150,2019,1195,Night,Evening
Jet Airways,Delhi,Cochin,0,7202,2019,195,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,12121,2019,1520,Morning,Morning
IndiGo,Banglore,New Delhi,0,4377,2019,170,Night,Night
IndiGo,Banglore,Delhi,0,3943,2019,180,Evening,Night
Air Asia,Banglore,Delhi,0,4483,2019,170,Night,Night
Jet Airways,Kolkata,Banglore,1,14231,2019,975,Evening,Afternoon
Air India,Banglore,New Delhi,2,17345,2019,905,Morning,Night
Vistara,Chennai,Kolkata,0,7414,2019,135,Morning,Morning
Multiple carriers,Delhi,Cochin,1,8073,2019,390,Evening,Night
Vistara,Mumbai,Hyderabad,1,12395,2019,1505,Afternoon,Afternoon
Air India,Kolkata,Banglore,1,8366,2019,745,Morning,Evening
Air India,Delhi,Cochin,1,5117,2019,1640,Morning,Morning
Multiple carriers,Delhi,Cochin,1,12524,2019,615,Morning,Evening
IndiGo,Delhi,Cochin,1,7191,2019,630,Afternoon,Night
Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
IndiGo,Delhi,Cochin,1,5894,2019,625,Morning,Evening
Vistara,Banglore,Delhi,0,5403,2019,170,Morning,Afternoon
Air India,Mumbai,Hyderabad,0,3625,2019,90,Afternoon,Afternoon
Air India,Delhi,Cochin,2,10861,2019,800,Night,Evening
IndiGo,Chennai,Kolkata,0,6297,2019,135,Afternoon,Afternoon
Jet Airways,Mumbai,Hyderabad,0,5678,2019,85,Morning,Morning
Jet Airways,Banglore,New Delhi,1,9134,2019,1590,Night,Morning
Multiple carriers,Delhi,Cochin,1,10791,2019,440,Morning,Evening
Jet Airways,Delhi,Cochin,2,12819,2019,810,Night,Afternoon
IndiGo,Delhi,Cochin,1,6893,2019,300,Night,Morning
Vistara,Banglore,New Delhi,0,7240,2019,165,Morning,Afternoon
GoAir,Banglore,Delhi,0,3898,2019,170,Morning,Afternoon
IndiGo,Mumbai,Hyderabad,0,4049,2019,90,Morning,Morning
Jet Airways,Delhi,Cochin,1,10262,2019,1145,Evening,Afternoon
SpiceJet,Chennai,Kolkata,0,3332,2019,135,Morning,Morning
Jet Airways,Kolkata,Banglore,1,10844,2019,890,Evening,Afternoon
Jet Airways,Banglore,New Delhi,0,7229,2019,160,Evening,Night
Jet Airways,Kolkata,Banglore,1,13941,2019,1330,Morning,Night
IndiGo,Delhi,Cochin,1,5894,2019,575,Morning,Evening
Multiple carriers,Delhi,Cochin,1,10197,2019,600,Morning,Evening
Jet Airways,Banglore,New Delhi,1,13712,2019,1280,Afternoon,Morning
IndiGo,Delhi,Cochin,1,5636,2019,325,Night,Morning
Jet Airways,Delhi,Cochin,2,13014,2019,1125,Morning,Night
Jet Airways,Kolkata,Banglore,1,7064,2019,740,Morning,Evening
Jet Airways,Kolkata,Banglore,1,10703,2019,1080,Evening,Afternoon
Multiple carriers,Delhi,Cochin,1,9646,2019,555,Afternoon,Night
Multiple carriers,Delhi,Cochin,1,17057,2019,665,Night,Afternoon
Jet Airways,Banglore,New Delhi,1,13817,2019,1050,Afternoon,Morning
Air India,Delhi,Cochin,2,13748,2019,800,Night,Evening
Air India,Kolkata,Banglore,0,4880,2019,155,Evening,Night
IndiGo,Chennai,Kolkata,0,3540,2019,145,Night,Morning
SpiceJet,Banglore,Delhi,0,3257,2019,160,Night,Morning
Jet Airways,Banglore,Delhi,0,6478,2019,180,Evening,Night
Jet Airways,Mumbai,Hyderabad,0,8040,2019,85,Morning,Morning
Jet Airways,Delhi,Cochin,2,14300,2019,995,Evening,Afternoon
Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
Jet Airways,Kolkata,Banglore,1,14939,2019,735,Evening,Morning
Jet Airways,Delhi,Cochin,1,10262,2019,450,Evening,Night
Air India,Kolkata,Banglore,1,6528,2019,1440,Afternoon,Afternoon
Air India,Banglore,Delhi,0,6121,2019,165,Morning,Morning
Jet Airways,Delhi,Cochin,2,13029,2019,535,Evening,Night
Multiple carriers,Delhi,Cochin,1,11421,2019,430,Morning,Evening
Multiple carriers,Delhi,Cochin,1,7574,2019,870,Night,Evening
Air India,Delhi,Cochin,2,11596,2019,1820,Afternoon,Evening
Jet Airways,Delhi,Cochin,2,15129,2019,1195,Night,Evening
Jet Airways,Banglore,New Delhi,1,13555,2019,900,Afternoon,Night
IndiGo,Banglore,Delhi,0,5780,2019,175,Evening,Evening
Vistara,Kolkata,Banglore,1,9397,2019,765,Evening,Morning
Jet Airways,Delhi,Cochin,1,17024,2019,610,Evening,Night
GoAir,Delhi,Cochin,1,5281,2019,355,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,10348,2019,925,Morning,Night
Air India,Delhi,Cochin,1,12677,2019,965,Evening,Morning
Multiple carriers,Delhi,Cochin,1,15147,2019,610,Afternoon,Night
Vistara,Banglore,Delhi,0,4668,2019,160,Morning,Morning
Jet Airways,Delhi,Cochin,1,15554,2019,715,Morning,Evening
SpiceJet,Banglore,Delhi,0,3971,2019,160,Night,Morning
Air India,Mumbai,Hyderabad,0,3100,2019,85,Afternoon,Afternoon
Jet Airways,Kolkata,Banglore,1,9663,2019,845,Evening,Morning
IndiGo,Chennai,Kolkata,0,3540,2019,145,Night,Morning
Air India,Kolkata,Banglore,2,10676,2019,1390,Afternoon,Morning
Jet Airways,Kolkata,Banglore,1,13044,2019,1090,Afternoon,Morning
Jet Airways,Kolkata,Banglore,1,14388,2019,960,Evening,Afternoon
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Evening
Air India,Banglore,New Delhi,1,5932,2019,480,Morning,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1015,Morning,Night
Vistara,Delhi,Cochin,0,6216,2019,190,Afternoon,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,165,Evening,Night
Multiple carriers,Delhi,Cochin,1,14067,2019,840,Morning,Night
Jet Airways,Delhi,Cochin,2,15129,2019,1430,Evening,Evening
Jet Airways,Delhi,Cochin,2,13376,2019,1300,Morning,Night
Air India,Delhi,Cochin,2,10441,2019,1275,Night,Evening
Jet Airways,Banglore,Delhi,0,4030,2019,165,Morning,Morning
Jet Airways,Delhi,Cochin,1,17024,2019,650,Morning,Evening
Multiple carriers,Delhi,Cochin,1,13017,2019,480,Evening,Night
GoAir,Kolkata,Banglore,1,6686,2019,495,Night,Morning
IndiGo,Delhi,Cochin,1,5636,2019,325,Night,Morning
IndiGo,Delhi,Cochin,1,6442,2019,515,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,9486,2019,710,Afternoon,Night
Jet Airways,Kolkata,Banglore,1,10844,2019,1655,Evening,Night
Jet Airways,Delhi,Cochin,2,15318,2019,505,Evening,Night
Air India,Delhi,Cochin,1,5117,2019,1255,Afternoon,Morning
IndiGo,Delhi,Cochin,1,6147,2019,290,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,7005,2019,490,Afternoon,Evening
SpiceJet,Kolkata,Banglore,0,3873,2019,140,Night,Night
Jet Airways,Delhi,Cochin,2,9270,2019,1465,Evening,Evening
GoAir,Banglore,Delhi,0,3898,2019,170,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
Jet Airways,Kolkata,Banglore,1,8586,2019,735,Evening,Morning
Air India,Kolkata,Banglore,2,10697,2019,1415,Morning,Morning
Jet Airways,Delhi,Cochin,2,14300,2019,995,Evening,Afternoon
IndiGo,Banglore,New Delhi,0,8855,2019,170,Evening,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,1545,Afternoon,Evening
Jet Airways,Delhi,Cochin,1,17024,2019,1570,Night,Night
Jet Airways,Kolkata,Banglore,1,9314,2019,1730,Morning,Afternoon
IndiGo,Banglore,New Delhi,0,4777,2019,165,Night,Night
Air India,Kolkata,Banglore,1,7662,2019,1515,Afternoon,Afternoon
IndiGo,Delhi,Cochin,1,6442,2019,560,Morning,Afternoon
SpiceJet,Delhi,Cochin,1,5264,2019,270,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,12898,2019,925,Afternoon,Night
Air India,Mumbai,Hyderabad,0,6092,2019,90,Afternoon,Afternoon
SpiceJet,Banglore,Delhi,0,3311,2019,160,Night,Morning
Jet Airways,Delhi,Cochin,1,6540,2019,550,Evening,Night
IndiGo,Banglore,Delhi,0,3419,2019,165,Night,Night
Jet Airways,Delhi,Cochin,1,5177,2019,1355,Afternoon,Afternoon
