Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,BsmtFin_SF_1,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,1st_Flr_SF,2nd_Flr_SF,Full_Bath,Half_Bath,TotRms_AbvGrd,Fireplaces,Garage_Yr_Blt,Garage_Cars,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Yr_Sold,SalePrice
141,31770,6,5,1960,1960,639,0,441,1080,1656,0,1,0,7,2,1960,2,528,210,62,0,0,0,2010,215000
80,11622,5,6,1961,1961,468,144,270,882,896,0,1,0,5,0,1961,1,730,140,0,0,0,120,2010,105000
81,14267,6,6,1958,1958,923,0,406,1329,1329,0,1,1,6,0,1958,1,312,393,36,0,0,0,2010,172000
93,11160,7,5,1968,1968,1065,0,1045,2110,2110,0,2,1,8,2,1968,2,522,0,0,0,0,0,2010,244000
74,13830,5,5,1997,1998,791,0,137,928,928,701,2,1,6,1,1997,2,482,212,34,0,0,0,2010,189900
78,9978,6,6,1998,1998,602,0,324,926,926,678,2,1,7,1,1998,2,470,360,36,0,0,0,2010,195500
41,4920,8,5,2001,2001,616,0,722,1338,1338,0,2,0,6,0,2001,2,582,0,0,170,0,0,2010,213500
43,5005,8,5,1992,1992,263,0,1017,1280,1280,0,2,0,5,0,1992,2,506,0,82,0,0,144,2010,191500
39,5389,8,5,1995,1996,1180,0,415,1595,1616,0,2,0,5,1,1995,2,608,237,152,0,0,0,2010,236500
60,7500,7,5,1999,1999,0,0,994,994,1028,776,2,1,7,1,1999,2,442,140,60,0,0,0,2010,189000
75,10000,6,5,1993,1994,0,0,763,763,763,892,2,1,7,1,1993,2,440,157,84,0,0,0,2010,175900
74.20720721,7980,6,7,1992,2007,935,0,233,1168,1187,0,2,0,6,0,1992,2,420,483,21,0,0,0,2010,185000
63,8402,6,5,1998,1998,0,0,789,789,789,676,2,1,7,1,1998,2,393,0,75,0,0,0,2010,180400
85,10176,7,5,1990,1990,637,0,663,1300,1341,0,1,1,5,1,1990,2,506,192,0,0,0,0,2010,171500
