employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,1,0,49,0
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,0,60,0
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,0,50,0
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,0,50,0
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,0,73,0
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,0,51,0
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,1,0,46,0
54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,0,0,59,0
12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,0,0,75,0
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,0,57,0
58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,0,0,63,0
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,0
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,0,0,59,0
26585,Technology,Region_22,Bachelor's,m,other,1,27,5,3,1,0,83,0
37749,Procurement,Region_26,Bachelor's,m,other,1,31,5,4,1,0,68,0
2370,Technology,Region_26,Bachelor's,m,other,1,33,4,4,0,0,79,0
8219,ANALYTICS,Region_5,Bachelor's,m,other,1,29,5,3,1,0,80,0
74759,Sales & Marketing,Region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0
27395,Procurement,Region_15,Bachelor's,m,sourcing,1,37,5,10,1,0,72,0
58536,Finance,Region_31,Bachelor's,m,other,2,26,1,2,0,0,61,0
35465,Sales & Marketing,Region_7,,f,sourcing,1,24,1,2,0,0,48,0
51756,Operations,Region_2,Bachelor's,m,sourcing,2,57,4,6,0,0,58,0
57011,ANALYTICS,Region_22,Bachelor's,m,other,2,27,5,3,1,0,87,0
77064,Sales & Marketing,Region_22,Bachelor's,m,other,1,40,2,4,1,0,47,0
64062,Technology,Region_28,Bachelor's,m,sourcing,1,33,4,4,1,0,75,0
47123,Sales & Marketing,Region_7,Bachelor's,f,sourcing,1,40,5,3,0,0,47,0
56275,Sales & Marketing,Region_1,Master's & above,m,other,1,42,5,5,1,0,51,0
58304,Sales & Marketing,Region_28,Bachelor's,m,sourcing,1,33,5,6,1,0,51,1
25014,Technology,Region_15,Bachelor's,m,other,1,34,3,10,0,0,80,0
40097,Operations,Region_2,Bachelor's,f,other,2,23,4,2,1,0,57,0
23560,HR,Region_2,Bachelor's,m,sourcing,1,59,4,26,1,0,52,0
17423,Sales & Marketing,Region_2,,m,other,3,24,2,2,0,0,48,0
61758,analytics,Region_2,Bachelor's,m,other,1,44,5,12,0,0,88,0
75009,Procurement,Region_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71,0
17876,Procurement,Region_13,Master's & above,f,other,1,37,4,4,0,0,71,0
36924,Technology,Region_16,Bachelor's,m,sourcing,1,40,3,11,0,0,80,0
50408,Sales & Marketing,Region_20,Bachelor's,m,sourcing,1,30,3,3,1,0,49,0
18013,Procurement,Region_2,Master's & above,f,sourcing,1,56,3,12,0,0,73,0
24104,Finance,Region_2,Bachelor's,m,sourcing,1,20,4,2,1,0,60,0
32083,Sales & Marketing,Region_25,Bachelor's,f,sourcing,1,31,3,8,0,0,48,0
38330,Procurement,Region_15,Bachelor's,m,sourcing,1,40,3,12,1,0,65,0
33690,HR,Region_22,Bachelor's,m,other,1,30,1,6,0,0,50,0
73161,Operations,Region_22,Bachelor's,m,other,1,39,3,5,1,0,62,0
13596,Analytics,Region_31,Bachelor's,m,other,2,26,2,2,0,0,85,0
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49,0
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,1,0,84,0
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47,0
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,0,52,0
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,1,0,47,1
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,0,53,0
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,0
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,1,0,52,0
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,0,87,0
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,1,0,58,0
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,1
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,1,0,75,0
45624,analytics,region_31,Bachelor's,m,other,1,30,3,7,1,0,84,1
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,1,0,59,0
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,1,0,78,1
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,0,52,0
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,0,44,0
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,0,52,0
