Customer_Requested_Delivery_Date,Confirmed_Delivery_Date,Product_Code,Consignee_Code,Planned_Shipment_Date,Shipment_Date,Destination_Code,Order_Entry_Date,Order_Number,Department_Code,Manufacturing_Plant_Code,Transportation_Vehicle_Code,Order_Size_LBS,Delivery_Date
2022-01-23,2022-01-20,122048,18343,2022-01-14,2022-01-14,Boston,2022-01-02,12688326,A78,Erie,HD8,4284.8451000000005,2022-02-05
2022-02-10,2022-02-21,24789,119597,2022-02-06,2022-02-06,Boston,2022-01-02,12688335,A78,Erie,HD8,4343.062,2022-03-12
2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692061,A78,Erie,HD8,4217.7729,2022-01-30
2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692057,A78,Erie,HD8,4166.2537,2022-01-31
2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692059,A78,Erie,HD8,4200.2758,2022-02-03
2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692060,A78,Erie,HD8,4183.7508,2022-02-01
2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692058,A78,Erie,HD8,4299.4259999999995,2022-01-31
2022-01-16,2022-01-13,10240,18343,2022-01-07,2022-01-08,Boston,2022-01-04,12692051,A78,Erie,HD8,4263.4598,2022-02-07
2022-01-16,2022-01-13,10240,18343,2022-01-07,2022-01-08,Boston,2022-01-04,12692052,A78,Erie,HD8,4596.8767,2022-02-01
2022-02-05,2022-02-05,7645,242825,2022-01-23,2022-01-23,Boston,2022-01-04,12691586,A78,Erie,HD8,4284.8451000000005,2022-02-24
2022-02-14,2022-02-14,98326,480856,2022-01-30,2022-01-30,Boston,2022-01-04,12691709,A78,Erie,HD8,4262.487700000001,2022-03-03
2022-01-21,2022-01-21,238405,264278,2022-01-10,2022-01-10,Boston,2022-01-08,12694995,A78,Erie,HD8,4782.5404,2022-02-10
2022-01-17,2022-01-20,6278,18343,2022-01-11,2022-01-11,Boston,2022-01-08,12695706,A78,Erie,HD8,4186.6669,2022-02-05
2022-01-28,2022-01-28,238405,297772,2022-01-11,2022-01-11,Boston,2022-01-09,12696637,A78,Erie,HD8,4291.6495,2022-02-14
2022-01-28,2022-01-29,7650,734241,2022-01-15,2022-01-15,Boston,2022-01-09,12697402,A78,Erie,HD8,4179.8625,2022-02-17
2022-02-10,2022-02-19,24789,119565,2022-02-06,2022-02-06,Boston,2022-01-09,12696900,A78,Erie,HD8,4288.7334,2022-03-10
2022-02-20,2022-02-20,92941,286493,2022-02-08,2022-02-08,Boston,2022-01-09,1181364,A78,Erie,HD8,4206.108200000001,2022-03-10
2022-02-27,2022-02-27,92941,286493,2022-02-15,2022-02-15,Boston,2022-01-09,1181366,A78,Erie,HD8,4375.0287,2022-03-16
2022-01-28,2022-01-28,238405,264278,2022-01-17,2022-01-17,Boston,2022-01-15,12704347,A78,Erie,HD8,4272.2083,2022-02-17
2022-01-28,2022-01-28,238405,264278,2022-01-17,2022-01-17,Boston,2022-01-15,12704348,A78,Erie,HD8,4201.2479,2022-02-14
2022-03-05,2022-03-05,92941,286493,2022-02-22,2022-02-22,Boston,2022-01-15,1182043,A78,Erie,HD8,4265.4039,2022-03-22
2022-03-11,2022-03-11,92941,286493,2022-02-28,2022-02-28,Boston,2022-01-15,1182045,A78,Erie,HD8,4282.901,2022-03-31
2022-03-14,2022-03-14,92941,286493,2022-03-01,2022-03-01,Boston,2022-01-15,1182046,A78,Erie,HD8,4305.258400000001,2022-04-02
