,Customer_Requested_Delivery_Date,Confirmed_Delivery_Date,Product_Code,Consignee_Code,Planned_Shipment_Date,Shipment_Date,Destination_Code,Order_Entry_Date,Order_Number,Department_Code,Manufacturing_Plant_Code,Transportation_Vehicle_Code,Order_Size_LBS,Delivery_Date,Est_Transit_Time,Act_Transit_Time,Transit_Time_Diff,Delivery_Date_Diff
0,2022-01-23,2022-01-20,122048,18343,2022-01-14,2022-01-14,Boston,2022-01-02,12688326,A78,Erie,HD8,4284.8451000000005,2022-02-05,6,22,16,16
1,2022-02-10,2022-02-21,24789,119597,2022-02-06,2022-02-06,Boston,2022-01-02,12688335,A78,Erie,HD8,4343.062,2022-03-12,15,34,19,19
2,2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692061,A78,Erie,HD8,4217.7729,2022-01-30,6,22,16,16
3,2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692057,A78,Erie,HD8,4166.2537,2022-01-31,6,23,17,17
4,2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692059,A78,Erie,HD8,4200.2758,2022-02-03,6,26,20,20
5,2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692060,A78,Erie,HD8,4183.7508,2022-02-01,6,24,18,18
6,2022-01-17,2022-01-14,10240,18343,2022-01-08,2022-01-08,Boston,2022-01-04,12692058,A78,Erie,HD8,4299.426,2022-01-31,6,23,17,17
7,2022-01-16,2022-01-13,10240,18343,2022-01-07,2022-01-08,Boston,2022-01-04,12692051,A78,Erie,HD8,4263.4598,2022-02-07,6,30,24,25
8,2022-01-16,2022-01-13,10240,18343,2022-01-07,2022-01-08,Boston,2022-01-04,12692052,A78,Erie,HD8,4596.8767,2022-02-01,6,24,18,19
9,2022-02-05,2022-02-05,7645,242825,2022-01-23,2022-01-23,Boston,2022-01-04,12691586,A78,Erie,HD8,4284.8451000000005,2022-02-24,13,32,19,19
10,2022-02-14,2022-02-14,98326,480856,2022-01-30,2022-01-30,Boston,2022-01-04,12691709,A78,Erie,HD8,4262.487700000001,2022-03-03,15,32,17,17
11,2022-01-21,2022-01-21,238405,264278,2022-01-10,2022-01-10,Boston,2022-01-08,12694995,A78,Erie,HD8,4782.5404,2022-02-10,11,31,20,20
12,2022-01-17,2022-01-20,6278,18343,2022-01-11,2022-01-11,Boston,2022-01-08,12695706,A78,Erie,HD8,4186.6669,2022-02-05,9,25,16,16
13,2022-01-28,2022-01-28,238405,297772,2022-01-11,2022-01-11,Boston,2022-01-09,12696637,A78,Erie,HD8,4291.6495,2022-02-14,17,34,17,17
14,2022-01-28,2022-01-29,7650,734241,2022-01-15,2022-01-15,Boston,2022-01-09,12697402,A78,Erie,HD8,4179.8625,2022-02-17,14,33,19,19
15,2022-02-10,2022-02-19,24789,119565,2022-02-06,2022-02-06,Boston,2022-01-09,12696900,A78,Erie,HD8,4288.7334,2022-03-10,13,32,19,19
16,2022-02-20,2022-02-20,92941,286493,2022-02-08,2022-02-08,Boston,2022-01-09,1181364,A78,Erie,HD8,4206.108200000001,2022-03-10,12,30,18,18
17,2022-02-27,2022-02-27,92941,286493,2022-02-15,2022-02-15,Boston,2022-01-09,1181366,A78,Erie,HD8,4375.0287,2022-03-16,12,29,17,17
18,2022-01-28,2022-01-28,238405,264278,2022-01-17,2022-01-17,Boston,2022-01-15,12704347,A78,Erie,HD8,4272.2083,2022-02-17,11,31,20,20
19,2022-01-28,2022-01-28,238405,264278,2022-01-17,2022-01-17,Boston,2022-01-15,12704348,A78,Erie,HD8,4201.2479,2022-02-14,11,28,17,17
20,2022-03-05,2022-03-05,92941,286493,2022-02-22,2022-02-22,Boston,2022-01-15,1182043,A78,Erie,HD8,4265.4039,2022-03-22,11,28,17,17
21,2022-03-11,2022-03-11,92941,286493,2022-02-28,2022-02-28,Boston,2022-01-15,1182045,A78,Erie,HD8,4282.901,2022-03-31,11,31,20,20
22,2022-03-14,2022-03-14,92941,286493,2022-03-01,2022-03-01,Boston,2022-01-15,1182046,A78,Erie,HD8,4305.258400000001,2022-04-02,13,32,19,19
23,2022-03-20,2022-03-24,92941,286493,2022-03-13,2022-03-14,Boston,2022-01-15,1182047,A78,Erie,HD8,4179.8625,2022-04-10,11,27,16,17
24,2022-02-03,2022-02-04,238405,297772,2022-01-18,2022-01-18,Boston,2022-01-16,12705757,A78,Erie,HD8,4646.4518,2022-02-25,17,38,21,21
25,2022-01-30,2022-01-31,7645,707541,2022-01-21,2022-01-21,Boston,2022-01-16,12706386,A78,Erie,HD8,4320.8114000000005,2022-02-19,10,29,19,19
26,2022-01-25,2022-01-29,122048,18343,2022-01-19,2022-01-19,Boston,2022-01-17,12707883,A78,Erie,HD8,4315.9511,2022-02-17,10,29,19,19
27,2022-01-31,2022-01-29,122048,18343,2022-01-22,2022-01-25,Boston,2022-01-17,12707884,A78,Erie,HD8,4292.6216,2022-02-15,7,21,14,17
28,2022-02-11,2022-02-11,10240,4738,2022-01-29,2022-02-01,Boston,2022-01-17,12707631,A78,Erie,HD8,4194.4434,2022-03-01,13,28,15,18
29,2022-02-01,2022-02-01,6278,18343,2022-01-25,2022-01-25,Boston,2022-01-18,12708780,A78,Erie,HD8,4289.7054,2022-02-18,7,24,17,17
30,2022-02-04,2022-02-04,64724,18343,2022-01-28,2022-01-28,Boston,2022-01-18,12708786,A78,Erie,HD8,4210.9685,2022-02-23,7,26,19,19
31,2022-02-12,2022-02-12,23578,119597,2022-01-28,2022-01-28,Boston,2022-01-21,12710364,A78,Erie,HD8,4293.5937,2022-02-27,15,30,15,15
32,2022-02-12,2022-02-12,23578,119597,2022-01-28,2022-01-28,Boston,2022-01-21,12710365,A78,Erie,HD8,4190.555200000001,2022-03-06,15,37,22,22
33,2022-02-17,2022-02-20,24789,119565,2022-02-07,2022-02-07,Boston,2022-01-21,12710553,A78,Erie,HD8,4289.7054,2022-03-10,13,31,18,18
34,2022-02-04,2022-02-04,238405,264278,2022-01-24,2022-01-24,Boston,2022-01-22,12711518,A78,Erie,HD8,4200.2758,2022-02-21,11,28,17,17
35,2022-02-11,2022-02-11,65728,564173,2022-02-01,2022-02-01,Boston,2022-01-22,12712883,A78,Erie,HD8,4212.912600000001,2022-02-28,10,27,17,17
