Employee_ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,YearsSinceLastPromotion
1,41,1,Travel_Rarely,1102,Sales,1.0,2,Life Sciences,1.0,2.0,Female,94.0,3.0,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,0
2,49,0,Travel_Frequently,279,Research & Development,8.0,1,Life Sciences,2.0,3.0,Male,61.0,2.0,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,1
3,37,1,Travel_Rarely,1373,Research & Development,2.0,2,Other,4.0,4.0,Male,92.0,2.0,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,0
4,33,0,Travel_Frequently,1392,Research & Development,3.0,4,Life Sciences,5.0,4.0,Female,56.0,3.0,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3
5,33,0,Travel_Frequently,1392,Research & Development,3.0,4,Life Sciences,5.0,4.0,Female,56.0,3.0,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3
6,33,0,Travel_Frequently,1392,Research & Development,3.0,4,Life Sciences,5.0,4.0,Female,56.0,3.0,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3
7,27,0,Travel_Rarely,591,Research & Development,2.0,1,Medical,7.0,1.0,Male,40.0,3.0,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,2
8,32,0,Travel_Frequently,1005,Research & Development,2.0,2,Life Sciences,8.0,4.0,Male,79.0,3.0,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3
9,59,0,Travel_Rarely,1324,Research & Development,3.0,3,Medical,10.0,3.0,Female,81.0,4.0,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,0
10,30,0,Travel_Rarely,1358,Research & Development,24.0,1,Life Sciences,11.0,4.0,Male,67.0,3.0,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,0
11,38,0,Travel_Frequently,216,Research & Development,23.0,3,Life Sciences,12.0,4.0,Male,44.0,2.0,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,1
12,36,0,Travel_Rarely,1299,Research & Development,27.0,3,Medical,13.0,3.0,Male,94.0,3.0,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,7
13,35,0,Travel_Rarely,809,Research & Development,16.0,3,Medical,14.0,1.0,Male,84.0,4.0,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,0
14,29,0,Travel_Rarely,153,Research & Development,15.0,2,Life Sciences,15.0,4.0,Female,49.0,2.0,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,0
15,31,0,Travel_Rarely,670,Research & Development,26.0,1,Life Sciences,16.0,1.0,Male,31.0,3.0,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,4
16,34,0,Travel_Rarely,1346,Research & Development,19.0,2,Medical,18.0,2.0,Male,93.0,3.0,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,1
17,28,1,Travel_Rarely,103,Research & Development,24.0,3,Life Sciences,19.0,3.0,Male,50.0,2.0,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,0
18,29,0,Travel_Rarely,1389,Research & Development,21.0,4,Life Sciences,20.0,2.0,Female,51.0,4.0,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,8
19,32,0,Travel_Rarely,334,Research & Development,5.0,2,Life Sciences,21.0,1.0,Male,80.0,4.0,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,0
20,22,0,Non-Travel,1123,Research & Development,16.0,2,Medical,22.0,4.0,Male,96.0,4.0,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,0
21,53,0,Travel_Rarely,1219,Sales,2.0,4,Life Sciences,23.0,1.0,Female,78.0,2.0,4,Manager,4,Married,15427,22021,2,Y,No,16,3
22,38,0,Travel_Rarely,371,Research & Development,2.0,3,Life Sciences,24.0,4.0,Male,45.0,3.0,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,1
23,24,0,Non-Travel,673,Research & Development,11.0,2,Other,26.0,1.0,Female,96.0,4.0,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,1
24,36,1,Travel_Rarely,1218,Sales,9.0,4,Life Sciences,27.0,3.0,Male,82.0,2.0,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,0
25,34,0,Travel_Rarely,419,Research & Development,7.0,4,Life Sciences,28.0,1.0,Female,53.0,3.0,3,Research Director,2,Single,11994,21293,0,Y,No,11,2
26,21,0,Travel_Rarely,391,Research & Development,15.0,2,Life Sciences,30.0,3.0,Male,96.0,3.0,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,0
27,34,1,Travel_Rarely,699,Research & Development,6.0,1,Medical,31.0,2.0,Male,83.0,3.0,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,1
28,53,0,Travel_Rarely,1282,Research & Development,5.0,3,Other,32.0,3.0,Female,58.0,3.0,5,Manager,3,Divorced,19094,10735,4,Y,No,11,4
29,32,1,Travel_Frequently,1125,Research & Development,16.0,1,Life Sciences,33.0,2.0,Female,72.0,1.0,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,6
30,42,0,Travel_Rarely,691,Sales,8.0,4,Marketing,35.0,3.0,Male,48.0,3.0,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,4
31,44,0,Travel_Rarely,477,Research & Development,7.0,4,Medical,36.0,1.0,Female,42.0,2.0,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,5
32,46,0,Travel_Rarely,705,Sales,2.0,4,Marketing,38.0,2.0,Female,83.0,3.0,5,Manager,1,Single,18947,22822,3,Y,No,12,2
