,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,January,30,2012,Plant W,3B,1152,00232543,00009995," 643,075 "
2013,02,January,30,2012,Plant W,3C,1152,00232543,00009995," 640,101 "
2013,02,January,30,2012,Plant W,3E,1152,00232543,00009995," 647,702 "
2013,02,January,30,2012,Plant W,3F,1152,00232543,00009995," 639,771 "
2013,02,January,30,2012,Plant W,4B,1152,00232543,00009995," 643,075 "
2013,02,January,30,2012,Plant W,4C,1152,00232543,00009995," 640,101 "
2013,02,January,30,2012,Plant W,4D,1152,00232543,00009995," 568,391 "
2013,02,January,30,2012,Plant W,4E,1152,00232543,00009995," 647,041 "
2013,02,January,30,2012,Plant W,4F,1152,00232543,00009995," 646,049 "
2013,02,January,31,2012,Plant W,1D,1152,00124081,00009995," 422,658 "
2013,02,January,31,2012,Plant W,1E,1152,00124081,00009995," 155,647 "
2013,02,January,31,2012,Plant W,1F,1152,00124081,00009995," 413,405 "
2013,02,January,31,2012,Plant W,4A,1152,00232543,00009995," 384,655 "
2013,02,February,01,2012,Plant U,1C,1150,00132324,00010270," 1,057 "
2013,02,February,21,2012,Plant W,4C,1152,00185603,00009995," 647,702 "
2013,02,February,27,2012,Plant R,1G,1133,00013472,00009995," 158,238 "
2013,02,March,01,2012,Plant V,3A,1151,00009710,00010269," 39,320 "
2013,02,March,02,2012,Plant T,1C,1149,00115126,00010270," 99,236 "
2013,02,March,27,2012,Plant R,1A,1124,00086301,00009995, 2 
2013,02,April,02,2012,Plant M,21,1160,00023821,00007119," 386,800 "
2013,02,April,16,2012,Plant C,22,1165,00047775,00007119," 85,280 "
2013,02,April,17,2012,Plant M,44,1160,00232775,00010270," 823,660 "
2013,02,April,18,2012,Plant M,42,1160,00232775,00010270," 832,469 "
2013,02,April,24,2012,Plant X,5C,1155,00086089,00010270," 47,834 "
2013,02,April,26,2012,Plant D,01,1162,00070228,00007961," 439,944 "
2013,02,May,02,2012,Plant A,3F,1160,00116129,00007129," 394,844 "
2013,02,May,03,2012,Plant C,53,1116,00006284,00007129," 4,409 "
2013,02,May,09,2012,Plant T,C3,1149,00092878,00009995," 8,228 "
2013,02,May,11,2012,Plant T,2B,1149,00092892,00009995," 354,418 "
2013,02,May,13,2012,Plant T,3F,1149,00241130,00009995," 652,493 "
2013,02,May,14,2012,Plant T,3C,1149,00241130,00009995," 638,449 "
2013,02,May,14,2012,Plant T,3D,1149,00241130,00009995," 298,901 "
2013,02,May,14,2012,Plant V,2B,1151,00009712,00010269," 102,680 "
2013,02,May,22,2012,Plant X,5B,1155,00086101,00010270," 431,651 "
2013,02,May,25,2012,Plant T,1C,1149,00092892,00009995," 434,720 "
2013,02,May,26,2012,Plant T,1A,1116,00115496,00009995," 648,858 "
2013,02,May,27,2012,Plant T,1A,1149,00115496,00009995," 644,562 "
2013,02,May,28,2012,Plant C,32,1126,00098118,00021701," 801,900 "
2013,02,May,29,2012,Plant M,41,1116,00184592,00007119," 80,982 "
2013,02,May,31,2012,Plant T,1A,1149,00092892,00009995," 523,449 "
2013,02,May,31,2012,Plant U,2C,1150,00245201,00010269," 689,200 "
2013,02,June,02,2012,Plant N,3E,1116,00236317,00007129," 419,833 "
2013,02,June,10,2012,Plant C,12,1126,00116532,00007119," 387,400 "
2013,02,June,10,2012,Plant C,13,1126,00116532,00007119," 357,200 "
2013,02,June,11,2012,Plant T,1A,1149,00092919,00009995," 120,618 "
2013,02,June,11,2012,Plant U,1A,1150,00089620,00010269," 37,080 "
2013,02,June,11,2012,Plant W,S1,1152,00086286,00009995," 3,305 "
2013,02,June,12,2012,Plant C,13,1126,00236242,00007119," 248,200 "
2013,02,June,20,2012,Plant M,51,1166,00048105,00007119," 381,600 "
2013,02,June,21,2012,Plant R,1B,1124,00086301,00009995," 10,170 "
2013,02,June,21,2012,Plant R,1C,1124,00086301,00009995, 3 
2013,02,June,24,2012,Plant U,1C,1116,00086035,00010269," 235,101 "
2013,02,June,26,2012,Plant U,1A,1111,00086035,00010269," 575,414 "
2013,02,June,26,2012,Plant U,1A,1116,00086035,00010269," 188,186 "
2013,02,June,26,2012,Plant U,1C,1116,00086035,00010269," 675,868 "
2013,02,June,26,2012,Plant U,1C,1150,00086035,00010269," 784,000 "
2013,02,July,01,2012,Plant R,1C,1123,00104970,00009995," 521,779 "
2013,02,July,04,2012,Plant W,1E,1152,00068332,00009995," 143,085 "
2013,02,July,06,2012,Plant R,1G,1124,00086301,00009995," 639,657 "
2013,02,July,06,2012,Plant R,1J,1124,00086301,00009995," 710,617 "
2013,02,July,06,2012,Plant T,1B,1151,00089746,00010270, 8 
2013,02,July,08,2012,Plant T,1A,1149,00013485,00009995," 211,276 "
2013,02,July,08,2012,Plant V,3A,1151,00009710,00010269," 179,491 "
2013,02,July,09,2012,Plant A,3D,1160,00244087,00007129," 282,773 "
2013,02,July,10,2012,Plant A,3B,1160,00244087,00007129," 261,546 "
2013,02,July,10,2012,Plant M,41,1166,00062815,00007119," 391,000 "
2013,02,July,11,2012,Plant A,3A,1160,00244090,00007129," 409,140 "
2013,02,July,11,2012,Plant A,3B,1160,00244090,00007129, 2 
2013,02,July,12,2012,Plant R,2I,1164,00086127,00010270," 850,088 "
2013,02,July,12,2012,Plant W,6A,1152,00013472,00009995, 0 
