section,office_hours,majors,past_experience,python_comfort,ta_hours
I,on zoom.,Finance,badm210,4,Monday 8pm-10pm
J,on zoom.,Supply Chain Management,"CS 105 

BADM 210",2,Monday 8pm-10pm
I,in person.,Marketing,I have taken CS 105: Introduction to Computing (Non-Technical) and BADM 210: Business Analytics I.,4,Friday 10am-12pm
J,on zoom.,Accountancy,"* FIN 423, 411, 321

* CS 105

* BADM 210",3,Monday 8pm-10pm
I,on zoom.,Finance,"In university I took CS 105, and also was a part of AI4ALL a program regarding coding and AI programming. Although in high school I took programming in correlation to smartphones and focused some time on HTML. Along with that, I am also an alumnus of Girls Who Code, in which we covered basic coding in the most up-to-date languages. Other than that I also studied statistics in high school and dipped my toes into understanding data analytics. ",3,Monday 8pm-10pm
J,on zoom.,Finance,"CS 105, BADM 210",2,Monday 8pm-10pm
I,on zoom.,Marketing,APCSA ,2,Sunday 6-8pm
J,"in person.,on zoom.",Accountancy,CS 105,3,Sunday 6-8pm
I,on zoom.,Finance,"STATS 200 

STATS 400

CS 105",1,Sunday 6-8pm
J,"in person.,on zoom.",Marketing,"BADM 210, Intro to programming, Stats,",3,Monday 8pm-10pm
I,on zoom.,Accountancy,"cs 105, badm 210",2,Monday 8pm-10pm
J,in person.,Finance,"HS - AP Comp Sci Principles, AP Stat

UIUC - BADM 210",2,Sunday 6-8pm
J,"in person.,on zoom.",Finance,"CS 105, CS 124, STAT 100, BADM 210",4,Sunday 6-8pm
I,"in person.,on zoom.",Accountancy,I took an intro to JavaScript course in high school and I also took CS105 last year. I also took AP Statistics in high school.,3,Sunday 6-8pm
J,"in person.,on zoom.",Information Systems,"AP Computer Science Principles, AP Computer Science A",2,Friday 10am-12pm
I,"in person.,on zoom.",Supply Chain Management,"CS 105

BADM 210

 ",2,Friday 10am-12pm
J,in person.,Finance,cs 105,1,Thursday 5pm-7pm
J,on zoom.,Finance,"Introduction to Computer Science
Probability and Statistics
Business Analytics I",3,Monday 8pm-10pm
J,on zoom.,Finance,"Intro to Stats

Into to Data Science",1,Sunday 6-8pm
J,"in person.,on zoom.",Marketing,"CS 105, BADM 210, web development in hs",3,Friday 10am-12pm
J,in person.,Marketing,"CS 105, Data Analytics 1, AP stats",3,Monday 8pm-10pm
I,"in person.,on zoom.",Finance,"Advanced Programming

AP Computer Science A

Data Structures

AP Statistics

Online Python Certification from IBM

BADM 210",4,Friday 10am-12pm
I,"in person.,on zoom.",Supply Chain Management,"badm210, cs105, cs124. ",3,Monday 8pm-10pm
J,on zoom.,Supply Chain Management,I have taken CS 105 (Intro to Computing) and BADM 210 (Data Analytics I) here at UIUC. ,2,Friday 10am-12pm
J,"in person.,on zoom.",Information Systems,"In highschool, I took intro to computer science, AP CS principles, AP Statistics. Recently I did some html and css coding on FreeCodeCamp. ",2,Thursday 5pm-7pm
J,on zoom.,Accountancy,"AP Stats, BADM 210, AP CS Principles, AP Java",2,Thursday 5pm-7pm
I,on zoom.,Accountancy,"I've taken AP Statistics, BADM 210, and CS 105, so I have some experience with statistics and programming. I am also currently taking BADM 350. ",3,Thursday 5pm-7pm
