,Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
0,IndiGo,Banglore,New Delhi,0,3897,2019,170,Night,Night
1,Air India,Kolkata,Banglore,2,7662,2019,445,Night,Afternoon
2,Jet Airways,Delhi,Cochin,2,13882,2019,1140,Morning,Night
3,IndiGo,Kolkata,Banglore,1,6218,2019,325,Evening,Night
4,IndiGo,Banglore,New Delhi,1,13302,2019,285,Afternoon,Evening
5,SpiceJet,Kolkata,Banglore,0,3873,2019,145,Morning,Morning
6,Jet Airways,Banglore,New Delhi,1,11087,2019,930,Evening,Morning
7,Jet Airways,Banglore,New Delhi,1,22270,2019,1265,Morning,Night
8,Jet Airways,Banglore,New Delhi,1,11087,2019,1530,Morning,Morning
9,Multiple carriers,Delhi,Cochin,1,8625,2019,470,Morning,Evening
10,Air India,Delhi,Cochin,1,8907,2019,795,Morning,Night
11,IndiGo,Kolkata,Banglore,0,4174,2019,155,Evening,Night
12,Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
13,Jet Airways,Kolkata,Banglore,1,9663,2019,730,Evening,Morning
14,IndiGo,Kolkata,Banglore,0,4804,2019,155,Evening,Evening
15,Air India,Delhi,Cochin,2,14011,2019,1595,Afternoon,Evening
16,SpiceJet,Delhi,Cochin,1,5830,2019,270,Morning,Afternoon
17,Jet Airways,Delhi,Cochin,1,10262,2019,1355,Afternoon,Afternoon
18,Air India,Delhi,Cochin,2,13381,2019,1380,Evening,Evening
19,Jet Airways,Delhi,Cochin,1,12898,2019,1235,Afternoon,Afternoon
20,GoAir,Delhi,Cochin,1,19495,2019,310,Afternoon,Evening
21,Air India,Banglore,New Delhi,1,6955,2019,920,Night,Afternoon
22,IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
23,IndiGo,Banglore,Delhi,0,4823,2019,175,Evening,Evening
24,Jet Airways,Kolkata,Banglore,1,7757,2019,800,Evening,Morning
25,Jet Airways,Delhi,Cochin,2,13292,2019,910,Evening,Afternoon
26,IndiGo,Delhi,Cochin,1,8238,2019,345,Evening,Night
27,GoAir,Delhi,Cochin,1,7682,2019,355,Morning,Afternoon
28,Vistara,Banglore,Delhi,0,4668,2019,170,Morning,Afternoon
29,Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
30,Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
31,Air India,Kolkata,Banglore,2,13227,2019,805,Morning,Night
32,IndiGo,Banglore,Delhi,0,4423,2019,170,Night,Morning
33,Jet Airways,Delhi,Cochin,2,10919,2019,1320,Afternoon,Afternoon
34,Jet Airways,Delhi,Cochin,1,12373,2019,330,Morning,Afternoon
35,IndiGo,Delhi,Cochin,1,5894,2019,625,Morning,Evening
36,SpiceJet,Kolkata,Banglore,1,4649,2019,315,Afternoon,Evening
37,Air India,Kolkata,Banglore,0,6245,2019,150,Afternoon,Afternoon
38,Jet Airways,Banglore,New Delhi,1,19225,2019,375,Morning,Afternoon
39,Jet Airways,Delhi,Cochin,1,14924,2019,715,Morning,Evening
40,Multiple carriers,Delhi,Cochin,1,9646,2019,665,Morning,Evening
41,Air India,Banglore,New Delhi,1,8714,2019,510,Morning,Afternoon
42,Jet Airways,Delhi,Cochin,1,12373,2019,1325,Evening,Evening
43,Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
44,Multiple carriers,Delhi,Cochin,1,13062,2019,720,Morning,Evening
45,SpiceJet,Banglore,New Delhi,0,3527,2019,170,Night,Morning
46,IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
47,Air India,Chennai,Kolkata,0,4667,2019,135,Morning,Afternoon
48,Air India,Kolkata,Banglore,1,6117,2019,965,Evening,Morning
49,Jet Airways,Delhi,Cochin,2,11150,2019,1195,Night,Evening
50,Jet Airways,Delhi,Cochin,0,7202,2019,195,Morning,Afternoon
51,Jet Airways,Kolkata,Banglore,1,12121,2019,1520,Morning,Morning
52,IndiGo,Banglore,New Delhi,0,4377,2019,170,Night,Night
53,IndiGo,Banglore,Delhi,0,3943,2019,180,Evening,Night
54,Air Asia,Banglore,Delhi,0,4483,2019,170,Night,Night
55,Jet Airways,Kolkata,Banglore,1,14231,2019,975,Evening,Afternoon
56,Air India,Banglore,New Delhi,2,17345,2019,905,Morning,Night
57,Vistara,Chennai,Kolkata,0,7414,2019,135,Morning,Morning
58,Multiple carriers,Delhi,Cochin,1,8073,2019,390,Evening,Night
59,Vistara,Mumbai,Hyderabad,1,12395,2019,1505,Afternoon,Afternoon
60,Air India,Kolkata,Banglore,1,8366,2019,745,Morning,Evening
61,Air India,Delhi,Cochin,1,5117,2019,1640,Morning,Morning
62,Multiple carriers,Delhi,Cochin,1,12524,2019,615,Morning,Evening
63,IndiGo,Delhi,Cochin,1,7191,2019,630,Afternoon,Night
64,Vistara,Chennai,Kolkata,0,3687,2019,135,Morning,Morning
65,IndiGo,Delhi,Cochin,1,5894,2019,625,Morning,Evening
66,Vistara,Banglore,Delhi,0,5403,2019,170,Morning,Afternoon
67,Air India,Mumbai,Hyderabad,0,3625,2019,90,Afternoon,Afternoon
68,Air India,Delhi,Cochin,2,10861,2019,800,Night,Evening
69,IndiGo,Chennai,Kolkata,0,6297,2019,135,Afternoon,Afternoon
70,Jet Airways,Mumbai,Hyderabad,0,5678,2019,85,Morning,Morning
71,Jet Airways,Banglore,New Delhi,1,9134,2019,1590,Night,Morning
72,Multiple carriers,Delhi,Cochin,1,10791,2019,440,Morning,Evening
73,Jet Airways,Delhi,Cochin,2,12819,2019,810,Night,Afternoon
74,IndiGo,Delhi,Cochin,1,6893,2019,300,Night,Morning
75,Vistara,Banglore,New Delhi,0,7240,2019,165,Morning,Afternoon
76,GoAir,Banglore,Delhi,0,3898,2019,170,Morning,Afternoon
77,IndiGo,Mumbai,Hyderabad,0,4049,2019,90,Morning,Morning
78,Jet Airways,Delhi,Cochin,1,10262,2019,1145,Evening,Afternoon
79,SpiceJet,Chennai,Kolkata,0,3332,2019,135,Morning,Morning
80,Jet Airways,Kolkata,Banglore,1,10844,2019,890,Evening,Afternoon
81,Jet Airways,Banglore,New Delhi,0,7229,2019,160,Evening,Night
82,Jet Airways,Kolkata,Banglore,1,13941,2019,1330,Morning,Night
83,IndiGo,Delhi,Cochin,1,5894,2019,575,Morning,Evening
84,Multiple carriers,Delhi,Cochin,1,10197,2019,600,Morning,Evening
85,Jet Airways,Banglore,New Delhi,1,13712,2019,1280,Afternoon,Morning
86,IndiGo,Delhi,Cochin,1,5636,2019,325,Night,Morning
87,Jet Airways,Delhi,Cochin,2,13014,2019,1125,Morning,Night
88,Jet Airways,Kolkata,Banglore,1,7064,2019,740,Morning,Evening
89,Jet Airways,Kolkata,Banglore,1,10703,2019,1080,Evening,Afternoon
90,Multiple carriers,Delhi,Cochin,1,9646,2019,555,Afternoon,Night
91,Multiple carriers,Delhi,Cochin,1,17057,2019,665,Night,Afternoon
92,Jet Airways,Banglore,New Delhi,1,13817,2019,1050,Afternoon,Morning
93,Air India,Delhi,Cochin,2,13748,2019,800,Night,Evening
94,Air India,Kolkata,Banglore,0,4880,2019,155,Evening,Night
95,IndiGo,Chennai,Kolkata,0,3540,2019,145,Night,Morning
96,SpiceJet,Banglore,Delhi,0,3257,2019,160,Night,Morning
97,Jet Airways,Banglore,Delhi,0,6478,2019,180,Evening,Night
98,Jet Airways,Mumbai,Hyderabad,0,8040,2019,85,Morning,Morning
99,Jet Airways,Delhi,Cochin,2,14300,2019,995,Evening,Afternoon
100,Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
101,Jet Airways,Kolkata,Banglore,1,14939,2019,735,Evening,Morning
102,Jet Airways,Delhi,Cochin,1,10262,2019,450,Evening,Night
103,Air India,Kolkata,Banglore,1,6528,2019,1440,Afternoon,Afternoon
104,Air India,Banglore,Delhi,0,6121,2019,165,Morning,Morning
105,Jet Airways,Delhi,Cochin,2,13029,2019,535,Evening,Night
106,Multiple carriers,Delhi,Cochin,1,11421,2019,430,Morning,Evening
107,Multiple carriers,Delhi,Cochin,1,7574,2019,870,Night,Evening
108,Air India,Delhi,Cochin,2,11596,2019,1820,Afternoon,Evening
109,Jet Airways,Delhi,Cochin,2,15129,2019,1195,Night,Evening
110,Jet Airways,Banglore,New Delhi,1,13555,2019,900,Afternoon,Night
111,IndiGo,Banglore,Delhi,0,5780,2019,175,Evening,Evening
112,Vistara,Kolkata,Banglore,1,9397,2019,765,Evening,Morning
113,Jet Airways,Delhi,Cochin,1,17024,2019,610,Evening,Night
114,GoAir,Delhi,Cochin,1,5281,2019,355,Morning,Afternoon
115,Multiple carriers,Delhi,Cochin,1,10348,2019,925,Morning,Night
116,Air India,Delhi,Cochin,1,12677,2019,965,Evening,Morning
117,Multiple carriers,Delhi,Cochin,1,15147,2019,610,Afternoon,Night
118,Vistara,Banglore,Delhi,0,4668,2019,160,Morning,Morning
