IsCanceled,LeadTime,Adults,Children,Country,CustomerType,ADR,Hotel,book_id,ArrivalDate
0,18,2,1,ESP,Transient,154.77,Resort,RTransient2015July1-14,7/1/2015
0,96,2,0,ESP,Transient,,resort,RTransient2015July2-13,7/2/2015
0,98,2,0,FRA,Transient,71.55,Resort,RTransient2015July4-2,7/4/2015
1,26,2,2,PRT,Transient,163,Resort,RTransient2015July4-6,7/4/2015
0,44,3,0,PRT,Transient,225,Resort,RTransient2015July5-10,7/5/2015
1,44,2,2,PRT,Transient,153,Resort,RTransient2015July9-6,7/9/2015
0,108,2,0,PRT,Transient,87.3,Resort,RTransient2015July10-8,7/10/2015
0,110,2,0,PRT,Transient,139.4,Resort,RTransient2015July11-7,7/11/2015
1,60,,0,PRT,Transient,79.5,Resort,RTransient2015July13-16,7/13/2015
0,40,2,0,ESP,Transient,120,Resort,RTransient2015July13-18,7/13/2015
0,109,3,0,PRT,Transient,163.8,Resort,RTransient2015July13-24,7/13/2015
1,7,2,0,PRT,Transient,127.25,Resort,RTransient2015July17-7,7/17/2015
0,0,2,2,PRT,Transient,249,Resort,RTransient2015July18-15,7/18/2015
0,41,2,,ESP,Transient,131.37,Resort,RTransient2015July19-11,7/19/2015
0,65,2,2,GBR,Transient,167.5,Resort,RTransient2015July20-20,7/20/2015
0,39,2,1,PRT,Transient,141.6,resort,RTransient2015July20-29,7/20/2015
0,89,3,0,PRT,Transient,163.33,Resort,RTransient2015July21-7,7/21/2015
1,19,2,2,PRT,Transient,210,Resort,RTransient2015July23-9,7/23/2015
0,9,2,0,ESP,Transient-Party,164,Resort,RTransient-Party2015July24-1,7/24/2015
1,62,,2,PRT,Transient,210,Resort,RTransient2015July24-18,7/24/2015
0,35,2,0,ESP,Transient,659.6,Resort,RTransient2015July27-31,7/27/2015
1,10,2,0,PRT,Transient-Party,252,Resort,RTransient-Party2015August1-5,8/1/2015
1,36,2,0,PRT,Transient,209.6,Resort,RTransient2015August2-4,8/2/2015
0,65,2,0,PRT,Transient,0,resort,RTransient2015August5-2,8/5/2015
1,117,2,0,PRT,Transient,166,Resort,RTransient2015August5-14,8/5/2015
0,62,2,,FRA,Transient,210.33,Resort,RTransient2015August9-6,8/9/2015
0,35,2,0,PRT,Transient,164.65,Resort,RTransient2015August10-13,8/10/2015
1,120,2,0,PRT,Transient,120.6,Resort,RTransient2015August11-6,8/11/2015
1,91,,0,PRT,Transient,209,resort,RTransient2015August14-14,8/14/2015
0,6,2,0,ESP,Transient,195.8,Resort,RTransient2015August14-16,8/14/2015
1,12,2,0,PRT,Transient,184.45,Resort,RTransient2015August16-6,8/16/2015
1,58,2,0,PRT,Transient,133,Resort,RTransient2015August20-9,8/20/2015
1,156,2,0,PRT,Transient,172,Resort,RTransient2015August22-5,8/22/2015
1,42,2,0,PRT,Transient,177.57,Resort,RTransient2015August22-14,8/22/2015
1,72,2,0,PRT,Transient,148.3,Resort,RTransient2015August22-20,8/22/2015
0,11,2,0,PRT,Transient,199.4,resort,RTransient2015August24-15,8/24/2015
0,37,2,0,GBR,Transient,133.76,Resort,RTransient2015August24-21,8/24/2015
1,70,2,1,PRT,Transient,197.7,Resort,RTransient2015August24-22,8/24/2015
1,164,2,0,PRT,Transient-Party,110.7,Resort,RTransient-Party2015August28-1,8/28/2015
1,1,2,0,PRT,Transient,130.6,Resort,RTransient2015August28-24,8/28/2015
0,11,2,0,PRT,Transient,103.5,Resort,RTransient2015August30-3,8/30/2015
0,83,2,0,ROU,Transient,112.33,Resort,RTransient2015August30-9,8/30/2015
1,104,2,0,PRT,Transient,161.29,Resort,RTransient2015August30-17,8/30/2015
0,41,2,0,ESP,Transient,120.33,Resort,RTransient2015August31-5,8/31/2015
0,48,2,0,ESP,Transient,134.67,Resort,RTransient2015September1-4,9/1/2015
0,68,2,0,PRT,Transient,123,Resort,RTransient2015September5-3,9/5/2015
1,54,2,0,PRT,Transient,131,Resort,RTransient2015September5-15,9/5/2015
0,47,2,0,GBR,Transient,98,Resort,RTransient2015September5-17,9/5/2015
1,90,2,0,PRT,Transient,113,Resort,RTransient2015September6-26,9/6/2015
1,0,2,0,PRT,Transient,146,Resort,RTransient2015September9-5,9/9/2015
0,166,2,0,PRT,Transient,73.8,Resort,RTransient2015September10-4,9/10/2015
1,149,2,0,PRT,Transient,73.8,Resort,RTransient2015September13-3,9/13/2015
0,12,2,0,ESP,Transient,122.75,Resort,RTransient2015September13-6,9/13/2015
0,84,2,0,NLD,Transient,103.51,Resort,RTransient2015September14-13,9/14/2015
1,81,2,0,PRT,Transient,103.8,Resort,RTransient2015September15-4,9/15/2015
0,0,1,0,ESP,Transient,58.5,Resort,RTransient2015September16-8,9/16/2015
0,78,2,0,BRA,Transient,66.6,Resort,RTransient2015September17-1,9/17/2015
1,76,2,0,PRT,Transient,84.71,Resort,RTransient2015September17-9,9/17/2015
0,104,2,0,GBR,Contract,73.5,Resort,RContract2015September17-2,9/17/2015
1,185,2,0,PRT,Transient-Party,26,Resort,RTransient-Party2015September21-1,9/21/2015
0,8,2,0,ITA,Transient,74.8,Resort,RTransient2015September23-6,9/23/2015
1,67,2,0,PRT,Transient,109,Resort,RTransient2015September25-12,9/25/2015
0,51,,0,IRL,Transient,90.49,Resort,RTransient2015September25-15,9/25/2015
0,2,1,0,FRA,Transient-Party,58.5,Resort,RTransient-Party2015September30-2,9/30/2015
0,92,2,0,DEU,Transient,48,Resort,RTransient2015September30-13,9/30/2015
0,51,,1,PRT,Transient,74.4,Resort,RTransient2015October1-10,10/1/2015
0,61,2,0,PRT,Transient,86,Resort,RTransient2015October3-19,10/3/2015
0,81,2,0,IRL,Transient,63.66,Resort,RTransient2015October4-5,10/4/2015
0,18,2,0,IRL,Transient,63.47,Resort,RTransient2015October4-25,10/4/2015
1,102,2,0,PRT,Transient,71.67,Resort,RTransient2015October5-14,10/5/2015
0,175,2,0,BEL,Transient,41.6,Resort,RTransient2015October7-14,10/7/2015
1,77,2,0,PRT,Contract,50,Resort,RContract2015October9-4,10/9/2015
0,4,2,0,GBR,Transient,70.4,Resort,RTransient2015October9-50,10/9/2015
1,143,2,0,PRT,Transient,36.05,Resort,RTransient2015October10-26,10/10/2015
1,143,2,0,PRT,Transient,98,Resort,RTransient2015October10-33,10/10/2015
1,334,5,0,PRT,Group,0,Resort,RGroup2015October12-3,10/12/2015
0,153,2,0,PRT,Transient-Party,0,Resort,RTransient-Party2015October16-1,10/16/2015
0,41,2,0,GBR,Contract,43.93,Resort,RContract2015October18-2,10/18/2015
