id,name,state_code,latitude,longitude,year_founded,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
c:6669,Bandsintown,CA,42.35888,-71.05682,2007,2.2493,3.0027,3,3,375000,3,other,0,1,0,0,0,0,1,0,acquired
c:16283,TriCipher,CA,37.238916,-121.973718,2000,5.126,9.9973,9,4,40100000,1,enterprise,1,0,0,1,1,1,4.75,1,acquired
c:65620,Plixi,CA,32.901049,-117.192656,2009,1.0329,1.0329,5,1,2600000,2,web,0,0,1,0,0,0,4,1,acquired
c:42668,Solidcore Systems,CA,37.320309,-122.05004,2002,3.1315,5.3151,5,3,40000000,1,software,0,0,0,1,1,1,3.3333,1,acquired
c:65806,Inhale Digital,CA,37.779281,-122.419236,2010,0,1.6685,2,2,1300000,1,games_video,1,1,0,0,0,0,1,1,closed
c:22898,Matisse Networks,CA,37.406914,-122.09037,2002,4.5452,4.5452,3,1,7500000,1,other,0,0,0,1,0,0,3,1,closed
c:16191,RingCube Technologies,CA,37.3915589,-122.0702643,2005,1.7205,5.211,6,3,26000000,2,software,1,0,1,1,0,0,1.6667,1,acquired
c:5192,ClairMail,CA,38.057107,-122.513742,2004,1.6466,6.7616,25,3,34100000,3,other,0,0,1,1,0,1,3.5,1,acquired
c:1043,VoodooVox,MA,42.712207,-73.203599,2002,3.5863,11.1123,13,3,9650000,4,mobile,1,0,1,0,0,1,4,1,acquired
c:498,Doostang,CA,37.427235,-122.145783,2005,1.6712,4.6849,14,3,5750000,4,web,1,1,1,0,0,0,1,1,acquired
c:3949,Zong,CA,37.4429885,-122.1624131,2000,4.6274,9.4493,22,3,27500000,3,mobile,0,0,1,1,0,0,1,1,acquired
c:30290,Resonant Vibes,Other,38.241467,-85.724511,2004,4.9041,4.9041,0,1,350000,0,web,1,0,0,0,0,0,1,0,closed
c:1491,drop.io,NY,40.70276,-73.986668,2007,0.0192,2.4356,15,3,9950000,3,other,0,0,1,1,1,0,2.3333,1,acquired
c:15645,Stratavia,Other,39.74627279999999,-104.9911572,2001,4.6658,8.9973,12,5,10700000,1,software,0,0,1,1,0,0,2.5,1,acquired
c:54177,Invicta Networks,Other,38.901301,-77.265158,1999,6.6082,6.6082,0,1,200000,0,other,1,0,0,0,0,0,1,0,closed
c:16770,QSecure,CA,37.39628270000001,-122.105531,2003,2.5863,6.7644,8,5,49000000,1,other,1,0,1,1,1,1,3.5,1,closed
c:50727,SinglePlatform,NY,40.730646,-73.986614,2010,0.7425,1.5808,10,3,4575000,3,web,0,1,1,0,0,0,5,1,acquired
c:26368,Bling Nation,CA,37.446411,-122.16054,2007,2.5014,2.8301,13,2,28000000,3,enterprise,0,0,1,1,0,0,1,1,closed
c:22291,Metreos Corporation,TX,30.2350399,-97.8001299,2001,2.2137,3.7863,8,2,4355000,3,software,0,1,1,0,0,0,1.5,0,acquired
c:17857,Hidden City Games,Other,47.6026054,-122.2848651,2004,3.8329,3.8329,3,1,15000000,1,other,0,0,0,1,0,0,2,1,closed
c:15888,Neopolitan Networks,CA,37.426316,-122.141082,2002,5.4904,5.4904,1,1,3170000,1,web,0,0,1,0,0,0,2,0,closed
c:458,EventVue,Other,40.010492,-105.276843,2007,0.2521,0.337,5,2,455000,0,other,0,1,1,0,0,0,4.5,1,closed
c:45525,BridgePort Networks,Other,41.875555,-87.624421,2002,4.8411,4.8411,3,1,13000000,1,software,0,0,0,0,1,0,4,1,acquired
c:3193,Scalent Systems,CA,37.429676,-122.1085482,2003,4.0603,4.0603,7,1,15000000,1,other,0,0,0,0,1,0,4,1,acquired
c:28456,IQ Engines,CA,37.870102,-122.268136,2008,4.0685,4.0685,2,1,3800000,3,other,0,0,0,1,0,0,2,1,acquired
c:36920,"RetailMeNot, Inc.",TX,30.2653441,-97.7435857,2007,2.5068,4.5315,37,5,299500000,2,web,1,0,1,0,1,0,1.75,1,acquired
c:35712,Mophie,CA,33.708708,-117.852069,2005,1.189,1.189,5,1,1000000,3,other,1,0,0,0,0,0,2,1,acquired
c:21492,Airship Ventures,CA,37.422859,-122.045217,2007,1.3534,2.1644,3,2,10500000,1,other,0,0,1,1,0,0,2,1,closed
c:28768,Lockdown Networks,Other,47.603832,-122.330062,2001,4.1534,5.1671,6,2,8600000,1,other,1,0,0,1,0,0,1.5,1,acquired
c:150658,Karma,CA,37.779281,-122.419236,2011,0,0.8685,3,2,2304999,2,mobile,1,0,0,0,0,0,5,1,acquired
c:34338,Zipano,Other,40.441694,-79.990086,2009,0.0822,0.0822,2,1,25000,0,other,0,1,0,0,0,0,1,0,closed
